order_id,customer_id,order_date,amount,status
1,490,2023-10-09,118.14,Shipped
2,542,2025-05-13,481.38,Pending
3,37,2024-10-09,363.95,Shipped
4,297,2023-07-22,864.64,Cancelled
5,89,2024-07-06,976.27,Cancelled
6,399,2024-09-09,615.94,Pending
7,233,2024-12-02,56.81,Cancelled
8,915,2023-09-09,994.12,Delivered
9,453,2025-05-11,997.03,Delivered
10,170,2023-08-16,771.91,Pending
11,780,2024-11-18,658.99,Delivered
12,854,2025-01-27,161.62,Pending
13,984,2024-05-31,538.64,Shipped
14,24,2024-04-07,610.69,Delivered
15,568,2023-12-03,572.41,Delivered
16,14,2023-11-29,731.35,Shipped
17,198,2024-09-05,722.99,Shipped
18,534,2024-12-05,231.61,Pending
19,817,2023-07-10,227.13,Pending
20,869,2025-05-22,208.81,Delivered
21,147,2023-11-15,601.7,Shipped
22,182,2024-09-03,67.08,Pending
23,931,2025-04-04,27.71,Shipped
24,803,2025-01-12,928.52,Shipped
25,688,2024-08-09,231.8,Delivered
26,34,2024-02-06,19.19,Pending
27,629,2024-08-21,18.22,Cancelled
28,503,2024-05-24,764.23,Pending
29,142,2024-08-30,402.13,Delivered
30,376,2024-12-09,281.41,Shipped
31,966,2024-09-04,611.84,Pending
32,792,2025-05-24,820.61,Cancelled
33,900,2024-04-12,305.0,Delivered
34,543,2023-12-29,619.23,Pending
35,957,2024-11-09,212.83,Cancelled
36,676,2023-08-21,448.16,Pending
37,448,2024-02-11,473.47,Shipped
38,69,2023-08-17,467.68,Cancelled
39,942,2024-08-12,595.37,Cancelled
40,960,2024-09-07,285.66,Delivered
41,210,2024-03-06,792.98,Cancelled
42,493,2024-10-24,769.13,Pending
43,248,2025-05-28,992.75,Shipped
44,132,2024-10-09,455.69,Cancelled
45,573,2024-07-07,958.0,Pending
46,407,2025-02-20,593.28,Pending
47,526,2024-08-23,894.29,Cancelled
48,720,2024-03-03,730.57,Cancelled
49,921,2024-05-08,519.07,Shipped
50,70,2024-02-12,828.64,Shipped
51,195,2023-12-19,538.05,Cancelled
52,262,2023-10-06,762.83,Pending
53,107,2024-08-06,921.07,Pending
54,385,2023-11-12,314.07,Cancelled
55,385,2023-08-15,107.74,Shipped
56,450,2025-05-31,491.31,Shipped
57,598,2025-04-22,539.28,Shipped
58,55,2025-02-08,929.96,Shipped
59,847,2023-06-23,298.12,Pending
60,116,2024-01-25,657.3,Cancelled
61,595,2023-07-16,250.73,Cancelled
